State,PC No,Constituency,Sl no,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Vote Share
JHARKHAND,5,KODARMA,1,ANNPURNA DEVI,BHARATIYA JANATA PARTY,787185,4472,791657,57.79
JHARKHAND,5,KODARMA,2,VINOD KUMAR SINGH,COMMUNIST PARTY OF INDIA  (MARXIST-LENINIST)  (LIBERATION),410945,3698,414643,30.27
JHARKHAND,5,KODARMA,3,MANOJ KUMAR,INDEPENDENT,28310,302,28612,2.09
JHARKHAND,5,KODARMA,4,JAI PRAKASH VERMA,INDEPENDENT,22843,380,23223,1.7
JHARKHAND,5,KODARMA,5,SITAN RABIDAS,BAHUJAN SAMAJ PARTY,13067,107,13174,0.96
JHARKHAND,5,KODARMA,6,SURENDRA KUMAR AGRAWAL,INDEPENDENT,9646,10,9656,0.7
JHARKHAND,5,KODARMA,7,SAHADAT ANSARI,INDEPENDENT,8217,15,8232,0.6
JHARKHAND,5,KODARMA,8,JAYNARAYAN DAS,BAHUJAN MUKTI PARTY,6701,37,6738,0.49
JHARKHAND,5,KODARMA,9,AKLESHWAR SAW,LOKHIT ADHIKAR PARTY,5574,27,5601,0.41
JHARKHAND,5,KODARMA,10,JITLAL KISKU,INDEPENDENT,5299,34,5333,0.39
JHARKHAND,5,KODARMA,11,MD. SAGIR,INDEPENDENT,5041,3,5044,0.37
JHARKHAND,5,KODARMA,12,AJAY KRISHNA,MOOLNIWASI SAMAJ PARTY,4526,15,4541,0.33
JHARKHAND,5,KODARMA,13,RAJESH,INDEPENDENT,4230,3,4233,0.31
JHARKHAND,5,KODARMA,14,RAMESHWAR PRASAD YADAV,INDEPENDENT,4227,2,4229,0.31
JHARKHAND,5,KODARMA,15,ASHISH KUMAR,RIGHT TO RECALL PARTY,2892,4,2896,0.21
JHARKHAND,5,KODARMA,16,NOTA,NONE OF THE ABOVE,42089,63,42152,3.08
JHARKHAND,6,GIRIDIH,1,CHANDRA PRAKASH CHOUDHARY,AJSU PARTY,447896,3243,451139,35.67
JHARKHAND,6,GIRIDIH,2,MATHURA PRASAD MAHATO,JHARKHAND MUKTI MORCHA,367197,3062,370259,29.27
JHARKHAND,6,GIRIDIH,3,JAIRAM KUMAR MAHATO,INDEPENDENT,342241,5081,347322,27.46
JHARKHAND,6,GIRIDIH,4,KAMAL PRASAD,BAHUJAN SAMAJ PARTY,13971,103,14074,1.11
JHARKHAND,6,GIRIDIH,5,SUBODH KUMAR YADAV,INDEPENDENT,13093,13,13106,1.04
JHARKHAND,6,GIRIDIH,6,RAMESHWAR DUSADH,INDEPENDENT,11011,9,11020,0.87
JHARKHAND,6,GIRIDIH,7,SUNITA TUDU,INDEPENDENT,10899,45,10944,0.87
JHARKHAND,6,GIRIDIH,8,MD AINUL ANSARI,BAHUJAN MUKTI PARTY,6919,20,6939,0.55
JHARKHAND,6,GIRIDIH,9,DWARAKA PRASAD LALA,INDEPENDENT,5617,10,5627,0.44
JHARKHAND,6,GIRIDIH,10,KALAWATI DEVI,INDEPENDENT,5414,16,5430,0.43
JHARKHAND,6,GIRIDIH,11,GYANESHWAR PRASAD,LOKHIT ADHIKAR PARTY,5348,8,5356,0.42
JHARKHAND,6,GIRIDIH,12,SHIVJI PRASAD,RIGHT TO RECALL PARTY,4248,6,4254,0.34
JHARKHAND,6,GIRIDIH,13,PRAMOD RAM,PEOPLES PARTY OF INDIA (DEMOCRATIC),3805,20,3825,0.3
JHARKHAND,6,GIRIDIH,14,USHA SINGH,INDEPENDENT,3703,58,3761,0.3
JHARKHAND,6,GIRIDIH,15,PAPPU KUMAR NISHAD,BHARTIYA LOKMAT RASHTRWADI PARTY,3203,13,3216,0.25
JHARKHAND,6,GIRIDIH,16,SUBHASH KUMAR THAKUR,SARV SAMAJ PARTY,2513,4,2517,0.2
JHARKHAND,6,GIRIDIH,17,NOTA,NONE OF THE ABOVE,5927,117,6044,0.48
JHARKHAND,7,DHANBAD,1,DULU MAHATO,BHARATIYA JANATA PARTY,782423,6749,789172,55.26
JHARKHAND,7,DHANBAD,2,ANUPAMA SINGH,INDIAN NATIONAL CONGRESS,452358,5231,457589,32.04
JHARKHAND,7,DHANBAD,3,MD. EKLAK ANSARI,INDEPENDENT,78885,768,79653,5.58
JHARKHAND,7,DHANBAD,4,JAGDISH RAWANI,INDEPENDENT,27499,136,27635,1.94
JHARKHAND,7,DHANBAD,5,JANAK SAH GOND,INDEPENDENT,12761,3,12764,0.89
JHARKHAND,7,DHANBAD,6,MD. ZAHIRUDDIN KHAN,INDEPENDENT,6499,1,6500,0.46
JHARKHAND,7,DHANBAD,7,MOHAN SINGH,BAHUJAN SAMAJ PARTY,5594,45,5639,0.39
JHARKHAND,7,DHANBAD,8,TULSI MAHTO,INDEPENDENT,5371,4,5375,0.38
JHARKHAND,7,DHANBAD,9,KAMASHEVAR PRA. VERMA,INDEPENDENT,4002,2,4004,0.28
JHARKHAND,7,DHANBAD,10,SUNAINA KINNAR,INDEPENDENT,3430,32,3462,0.24
JHARKHAND,7,DHANBAD,11,AKBAR ALI,AKHIL BHARTIYA PARIVAR PARTY,3031,10,3041,0.21
JHARKHAND,7,DHANBAD,12,KRISHNA CHANDRA SINGH RAJ,SAMATA PARTY,2818,3,2821,0.2
JHARKHAND,7,DHANBAD,13,ANINDITA DAS,INDEPENDENT,2655,19,2674,0.19
JHARKHAND,7,DHANBAD,14,REZAUL HAQUE,LOKHIT ADHIKAR PARTY,2642,7,2649,0.19
JHARKHAND,7,DHANBAD,15,LAKSHMI DEVI,INDEPENDENT,2600,5,2605,0.18
JHARKHAND,7,DHANBAD,16,UMESH PASWAN,INDEPENDENT,2554,6,2560,0.18
JHARKHAND,7,DHANBAD,17,MOHAMMAD FAISHAL KHAN,INDEPENDENT,1994,2,1996,0.14
JHARKHAND,7,DHANBAD,18,RAJIB TIWARI,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1880,10,1890,0.13
JHARKHAND,7,DHANBAD,19,DEEPAK KUMAR DAS,PEOPLES PARTY OF INDIA (DEMOCRATIC),1720,15,1735,0.12
JHARKHAND,7,DHANBAD,20,NITAI DUTTA,INDEPENDENT,1695,48,1743,0.12
JHARKHAND,7,DHANBAD,21,SANJAY KUMAR GIRI,AKHIL BHARAT HINDU MAHASABHA,1617,10,1627,0.11
JHARKHAND,7,DHANBAD,22,PERWEZ NEYYAR,AAZAD SAMAJ PARTY (KANSHI RAM),1157,4,1161,0.08
JHARKHAND,7,DHANBAD,23,TRIDEV KR MAHTO,INDEPENDENT,1126,18,1144,0.08
JHARKHAND,7,DHANBAD,24,MOHAMMAD TAFAZUL HUSSAIN,INDEPENDENT,681,0,681,0.05
JHARKHAND,7,DHANBAD,25,PREM PRAKASH PASWAN,INDEPENDENT,516,17,533,0.04
JHARKHAND,7,DHANBAD,26,NOTA,NONE OF THE ABOVE,7202,152,7354,0.51
JHARKHAND,8,RANCHI,1,SANJAY SETH,BHARATIYA JANATA PARTY,658975,5757,664732,45.91
JHARKHAND,8,RANCHI,2,YASHASWINI SAHAY,INDIAN NATIONAL CONGRESS,537646,6574,544220,37.59
JHARKHAND,8,RANCHI,3,DEVENDRA NATH MAHTO,INDEPENDENT,130526,2121,132647,9.16
JHARKHAND,8,RANCHI,4,SOMA SINGH,JAI MAHA BHARATH PARTY,10340,1,10341,0.71
JHARKHAND,8,RANCHI,5,NIPU SINGH,RASHTRIYA JANSANGHARSH SWARAJ PARTY,7793,10,7803,0.54
JHARKHAND,8,RANCHI,6,DHANANJAY BHAGAT “GANDHI“,MERA ADHIKAAR RASHTRIYA DAL,6784,15,6799,0.47
JHARKHAND,8,RANCHI,7,SHYAM  BIHARI PRAJAPATI,BHAGIDARI PARTY(P),6524,6,6530,0.45
JHARKHAND,8,RANCHI,8,MANOJ KUMAR,BAHUJAN SAMAJ PARTY,6383,44,6427,0.44
JHARKHAND,8,RANCHI,9,RAMHARI GOPE,AMBEDKARITE PARTY OF INDIA,6304,5,6309,0.44
JHARKHAND,8,RANCHI,10,ANJANI PANDEY,INDEPENDENT,5386,11,5397,0.37
JHARKHAND,8,RANCHI,11,SARWESHWARI SAHU,EKAM SANATAN BHARAT DAL,4794,8,4802,0.33
JHARKHAND,8,RANCHI,12,HARINATH SAHU,LOKHIT ADHIKAR PARTY,4120,16,4136,0.29
JHARKHAND,8,RANCHI,13,HEMNTI DEVI,SAMATA PARTY,4069,11,4080,0.28
JHARKHAND,8,RANCHI,14,RANJANA GIRI,REPUBLICAN PARTY OF INDIA (A),3206,2,3208,0.22
JHARKHAND,8,RANCHI,15,BIRENDRA NATH MANJHI,ABUA JHARKHAND PARTY,3130,25,3155,0.22
JHARKHAND,8,RANCHI,16,DHARMENDRA TIWARY,BHARTIYA JANTANTRA MORCHA,3072,22,3094,0.21
JHARKHAND,8,RANCHI,17,PRAWEEN KACHHAP,SAMPOORNA BHARAT KRANTI PARTY,2870,74,2944,0.2
JHARKHAND,8,RANCHI,18,PRABEEN CHANDRA MAHATO,INDEPENDENT,2852,7,2859,0.2
JHARKHAND,8,RANCHI,19,SANTOSH KUMAR JAISWAL,INDEPENDENT,2782,5,2787,0.19
JHARKHAND,8,RANCHI,20,PANKAJ KUMAR RAVI,PEOPLES PARTY OF INDIA (DEMOCRATIC),2756,7,2763,0.19
JHARKHAND,8,RANCHI,21,MANORANJAN BHATTACHARYA,INDEPENDENT,2537,2,2539,0.18
JHARKHAND,8,RANCHI,22,AINUL ANSARI,INDEPENDENT,2533,4,2537,0.18
JHARKHAND,8,RANCHI,23,BINOD ORAON,BAHUJAN MUKTI PARTY,2523,66,2589,0.18
JHARKHAND,8,RANCHI,24,MINTU PASWAN,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),2151,13,2164,0.15
JHARKHAND,8,RANCHI,25,KOLESHWAR MAHTO,INDEPENDENT,1702,6,1708,0.12
JHARKHAND,8,RANCHI,26,KAMESHWAR PRASAD SAW,INDEPENDENT,1644,2,1646,0.11
JHARKHAND,8,RANCHI,27,ARSHAD AYUB,INDEPENDENT,1411,1,1412,0.1
JHARKHAND,8,RANCHI,28,NOTA,NONE OF THE ABOVE,8046,107,8153,0.56
JHARKHAND,9,JAMSHEDPUR,1,BIDYUT BARAN MAHATO,BHARATIYA JANATA PARTY,719891,6283,726174,56.84
JHARKHAND,9,JAMSHEDPUR,2,SAMIR KUMAR MOHANTY,JHARKHAND MUKTI MORCHA,459997,6395,466392,36.5
JHARKHAND,9,JAMSHEDPUR,3,INDRA DEO PRASAD,INDEPENDENT,8463,6,8469,0.66
JHARKHAND,9,JAMSHEDPUR,4,ARUN MAHATO,INDEPENDENT,7337,7,7344,0.57
JHARKHAND,9,JAMSHEDPUR,5,ANAND MUKHI,INDEPENDENT,6346,6,6352,0.5
JHARKHAND,9,JAMSHEDPUR,6,PRANAV KUMAR MAHTO,BAHUJAN SAMAJ PARTY,6090,61,6151,0.48
JHARKHAND,9,JAMSHEDPUR,7,BISHWANATH MAHATO,INDEPENDENT,5226,105,5331,0.42
JHARKHAND,9,JAMSHEDPUR,8,ANGAD MAHATO,AMRA BANGALEE,4898,27,4925,0.39
JHARKHAND,9,JAMSHEDPUR,9,JUJHAR SOREN,INDEPENDENT,4262,53,4315,0.34
JHARKHAND,9,JAMSHEDPUR,10,SUKUMAR SOREN,BHARAT ADIVASI PARTY,3860,34,3894,0.3
JHARKHAND,9,JAMSHEDPUR,11,DHARMU TUDU,AMBEDKARITE PARTY OF INDIA,3274,17,3291,0.26
JHARKHAND,9,JAMSHEDPUR,12,JITENDRA SINGH,INDEPENDENT,3159,8,3167,0.25
JHARKHAND,9,JAMSHEDPUR,13,SANAKA MAHATO,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),3137,38,3175,0.25
JHARKHAND,9,JAMSHEDPUR,14,MANOJ GUPTA,LOKHIT ADHIKAR PARTY,2355,7,2362,0.18
JHARKHAND,9,JAMSHEDPUR,15,SADHU CHARAN PAUL,INDEPENDENT,2291,26,2317,0.18
JHARKHAND,9,JAMSHEDPUR,16,SAURAV VISHNU,INDEPENDENT,2234,30,2264,0.18
JHARKHAND,9,JAMSHEDPUR,17,SHAIKH AKHIRUDDIN,BAHUJAN MAHA PARTY,2099,9,2108,0.16
JHARKHAND,9,JAMSHEDPUR,18,ASHOK KUMAR,PEOPLES PARTY OF INDIA (DEMOCRATIC),2038,10,2048,0.16
JHARKHAND,9,JAMSHEDPUR,19,MAHESH KUMAR,RIGHT TO RECALL PARTY,1952,8,1960,0.15
JHARKHAND,9,JAMSHEDPUR,20,G JAYRAM DAS,INDEPENDENT,1927,4,1931,0.15
JHARKHAND,9,JAMSHEDPUR,21,ARUN KUMAR SHARMA,BHARTIYA AZAD SENA,1797,4,1801,0.14
JHARKHAND,9,JAMSHEDPUR,22,DOMAN CHANDRA BHAKAT,BHAGIDARI PARTY(P),1343,5,1348,0.11
JHARKHAND,9,JAMSHEDPUR,23,BABLU PRASAD DANGI,INDEPENDENT,1144,8,1152,0.09
JHARKHAND,9,JAMSHEDPUR,24,GYAN SAGAR PRASAD,INDEPENDENT,1043,1,1044,0.08
JHARKHAND,9,JAMSHEDPUR,25,PARWATI KISKU,INDEPENDENT,972,16,988,0.08
JHARKHAND,9,JAMSHEDPUR,26,NOTA,NONE OF THE ABOVE,7105,221,7326,0.57
JHARKHAND,10,SINGHBHUM,1,JOBA MAJHI,JHARKHAND MUKTI MORCHA,515989,4175,520164,51.62
JHARKHAND,10,SINGHBHUM,2,GEETA KORA,BHARATIYA JANATA PARTY,349006,2756,351762,34.91
JHARKHAND,10,SINGHBHUM,3,DAMODAR SINGH HANSDA,INDEPENDENT,43838,454,44292,4.4
JHARKHAND,10,SINGHBHUM,4,MADHAV CHANDRA KUNKAL,INDEPENDENT,19729,105,19834,1.97
JHARKHAND,10,SINGHBHUM,5,SANGRAM MARDI,INDEPENDENT,16097,14,16111,1.6
JHARKHAND,10,SINGHBHUM,6,PARDESHI LAL MUNDA,BAHUJAN SAMAJ PARTY,8708,34,8742,0.87
JHARKHAND,10,SINGHBHUM,7,DURGA LAL MURMU,INDEPENDENT,4912,12,4924,0.49
JHARKHAND,10,SINGHBHUM,8,CHITRASEN SINKU,JHARKHAND PARTY,3188,22,3210,0.32
JHARKHAND,10,SINGHBHUM,9,BISHWA VIJAY MARDI,AMBEDKARITE PARTY OF INDIA,3067,3,3070,0.3
JHARKHAND,10,SINGHBHUM,10,ASHA KUMARI RUNDA,INDEPENDENT,2736,18,2754,0.27
JHARKHAND,10,SINGHBHUM,11,KRISHNA MARDI,JHARKHAND MUKTI MORCHA  (ULGULAN),2597,18,2615,0.26
JHARKHAND,10,SINGHBHUM,12,SUDHA RANI BESRA,PEOPLES PARTY OF INDIA (DEMOCRATIC),2398,11,2409,0.24
JHARKHAND,10,SINGHBHUM,13,BIR SINGH DEOGAM,RIGHT TO RECALL PARTY,1919,8,1927,0.19
JHARKHAND,10,SINGHBHUM,14,PANMANI SINGH,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),1793,8,1801,0.18
JHARKHAND,10,SINGHBHUM,15,NOTA,NONE OF THE ABOVE,23907,75,23982,2.38
JHARKHAND,11,KHUNTI,1,KALI CHARAN MUNDA,INDIAN NATIONAL CONGRESS,503997,7650,511647,54.62
JHARKHAND,11,KHUNTI,2,ARJUN MUNDA,BHARATIYA JANATA PARTY,358076,3896,361972,38.64
JHARKHAND,11,KHUNTI,3,SAVITRI DEVI,BAHUJAN SAMAJ PARTY,12202,98,12300,1.31
JHARKHAND,11,KHUNTI,4,BASANT KUMAR LONGA,INDEPENDENT,10735,20,10755,1.15
JHARKHAND,11,KHUNTI,5,ARPANA HANS,JHARKHAND PARTY,8450,82,8532,0.91
JHARKHAND,11,KHUNTI,6,PASTAR SANJAY KUMAR TIRKEY,INDEPENDENT,4944,19,4963,0.53
JHARKHAND,11,KHUNTI,7,BABITA KACHHAP,BHARAT ADIVASI PARTY,4507,87,4594,0.49
JHARKHAND,11,KHUNTI,8,NOTA,NONE OF THE ABOVE,21814,105,21919,2.34
JHARKHAND,12,LOHARDAGA,1,SUKHDEO BHAGAT,INDIAN NATIONAL CONGRESS,476112,6926,483038,49.95
JHARKHAND,12,LOHARDAGA,2,SAMIR ORAON,BHARATIYA JANATA PARTY,339685,4215,343900,35.56
JHARKHAND,12,LOHARDAGA,3,CHAMRA LINDA,INDEPENDENT,45082,916,45998,4.76
JHARKHAND,12,LOHARDAGA,4,MAHENDRA ORAON,COMMUNIST PARTY OF INDIA,16776,17,16793,1.74
JHARKHAND,12,LOHARDAGA,5,SHANIYA ORAON,INDEPENDENT,10894,17,10911,1.13
JHARKHAND,12,LOHARDAGA,6,GIRJANANDAN URAON,BAHUJAN SAMAJ PARTY,9103,45,9148,0.95
