Constituency,ConstituencyKey,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Status
VAISHALI,16,VEENA DEVI,LOK JANSHAKTI PARTY(RAM VILAS),VIJAY KUMAR SHUKLA,RASHTRIYA JANATA DAL,89634,Result Declared
VALMIKI NAGAR,1,SUNIL KUMAR,JANATA DAL (UNITED),DEEPAK YADAV,RASHTRIYA JANATA DAL,98675,Result Declared
VALSAD,26,DHAVAL LAXMANBHAI PATEL,BHARATIYA JANATA PARTY,ANANTKUMAR HASMUKHBHAI PATEL,INDIAN NATIONAL CONGRESS,210704,Result Declared
VARANASI,77,NARENDRA MODI,BHARATIYA JANATA PARTY,AJAY RAI,INDIAN NATIONAL CONGRESS,152513,Result Declared
VIJAYAWADA,12,KESINENI SIVANATH (CHINNI),TELUGU DESAM,KESINENI SRINIVAS (NANI),YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,282085,Result Declared
VISAKHAPATNAM,4,SRIBHARAT MATHUKUMILI,TELUGU DESAM,JHANSI LAKSHMI. BOTCHA.,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,504247,Result Declared
VIZIANAGARAM,3,APPALANAIDU KALISETTI,TELUGU DESAM,BELLANA CHANDRASEKHAR,YUVAJANA SRAMIKA RYTHU CONGRESS PARTY,249351,Result Declared
WARANGAL,15,KADIYAM KAVYA,INDIAN NATIONAL CONGRESS,AROORI RAMESH,BHARATIYA JANATA PARTY,220339,Result Declared
WARDHA,8,AMAR SHARADRAO KALE,NATIONALIST CONGRESS PARTY – SHARADCHANDRA PAWAR,RAMDAS CHANDRABHAN TADAS,BHARATIYA JANATA PARTY,81648,Result Declared
WAYANAD,4,RAHUL GANDHI,INDIAN NATIONAL CONGRESS,ANNIE RAJA,COMMUNIST PARTY OF INDIA,364422,Result Declared
WEST DELHI,6,KAMALJEET SEHRAWAT,BHARATIYA JANATA PARTY,MAHABAL MISHRA,AAM AADMI PARTY,199013,Result Declared
YAVATMAL- WASHIM,14,SANJAY UTTAMRAO DESHMUKH,SHIV SENA (UDDHAV BALASAHEB THACKREY),RAJSHRITAI HEMANT PATIL (MAHALLE),SHIV SENA,94473,Result Declared
ZAHIRABAD,5,SURESH KUMAR SHETKAR,INDIAN NATIONAL CONGRESS,B. B. PATIL,BHARATIYA JANATA PARTY,46188,Result Declared
